No,Question,Keyphrase
94,"Hành vi không chấp hành hiệu lệnh, chỉ dẫn của người điều khiển giao thông hoặc người kiểm soát giao thông; Không chấp hành hiệu lệnh của đèn tín hiệu giao thông bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- không chấp hành
- hiệu lệnh
- chỉ dẫn
- người điều khiển giao thông
- người khiển soát giao thông
- đèn tín hiệu
- xử phạt
- vi phạm"
95,"Hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 50 miligam đến 80 miligam/100 mililít máu hoặc vượt quá 0,25 miligam đến 0,4 miligam/1 lít khí thở bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe 
- nồng độ cồn
- vượt quá
- xử phạt
- vi phạm"
96,"Hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 80 miligam/100 mililít máu hoặc vượt quá 0,4 miligam/1 lít khí thở và không chấp hành yêu cầu kiểm tra về nồng độ cồn của người thi hành công vụ bị xử phạt vi phạm hành chính như thế nào?","- hành vi
- điều khiển
- xe 
- nồng độ cồn
- vượt quá
- không chấp hành
- yêu cầu
- kiểm tra
- người thi hành công vụ
- xử phạt
- vi phạm"
97,Việc vượt đèn đỏ với từng loại phương tiện sẽ bị phạt như thế nào? ,"- vượt
- đèn đỏ
- phương tiện
- phạt"
98,Người điểu khiển phương tiện khi lùi xe cần phải tuân thủ những quy định nào?,"- người điều khiển
- phương tiện
- lùi xe
- tuân thủ
- quy định"
99,Luật giao thông đường bộ năm 2008 quy định như thế nào về tín hiệu đèn giao thông? Mức xử phạt vi phạm hành chính đối với người điều khiển phương tiện không chấp hành tín hiệu đèn giao thông được quy định như thế nào?,"- quy định
- tín hiệu
- đèn giao thông
- xử phạt
- vi phạm
- người điều khiển
- không chấp hành"
100,"Chủ xe mô tô, ô tô tự ý đổi màu sơn xe bị xử phạt như thế nào?","- chủ
- xe
- mô tô
- ô tô
- đổi màu
- sơn xe
- xử phạt"
101,"Tại nơi đường giao nhau không có báo hiệu đi theo đường vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?","- đường giao nhau
- báo hiệu
- vòng xuyến
- quy tắc
- giao thông"
102,Trên đoạn đường bộ giao nhau cùng mức với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước?,"- đường bộ giao nhau
- cùng mức
- quyền ưu tiên"
103,"Tại nơi đường bộ giao nhau cùng mức với đường sắt chỉ có đèn tín hiệu hoặc chuông báo hiệu, khi đèn tín hiệu màu đỏ đã bật sáng hoăc có tiếng chuông báo hiệu, người tham gia giao thông phải dừng lại ngay và giữ khoảng cách tối thiểu bao nhiêu mét tính từ ray gần nhất?","- đường bộ giao nhau
- cùng mức đường sắt
- đèn tín hiệu
- chuông báo hiệu
- người tham gia
- khoảng cách tối thiểu
- mét"
104,Người lái xe phải làm gì khi điều khiển xe vào đường cao tốc?,"- người lái xe
- điều khiển
- vào
- đường cao tốc"
105,Người lái xe phải làm gì khi điều khiển xe ra khỏi đường cao tốc?,"- người lái xe
- điều khiển
- ra
- đường cao tốc"
106,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào?,"- phương tiện
- tuân thủ
- quy tắc giao thông
- quy định"
107,"Người ngồi trên xe mô tô hai bánh, xe mô tô 3 bánh, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?","- mô tô
- gắn máy
- mũ bảo hiểm
- cài quai"
108,"Người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện những hành vi nào?","- mô tô
- gắn máy
- thực hiện
- hành vi"
109,"Trên đường có nhiều làn đường, người điều kiển phương tiện tham gia giao thông sử dụng làn đường như thế nào là đúng?","- nhiều làn đường
- người tham gia giao thông
- làn đường"
110,"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào?","- đường giao nhau
- người lái xe
- đường không ưu tiên
- nhường đường"
111,Khi điều khiển xe chạy trên đường người lái xe phải mang theo các loại giấy tờ gì?,"- điều khiển
- xe
- giấy tờ"
112,"Người điều khiển xe mô tô, xe gắn máy trên đường mà máu trong có nồng độ còn vượt quá bao nhiêu thì bị cấm?","- người điều khiển
- mô tô
- gắn máy
- nồng độ cồn"
113,"Tại nơi đường giao nhau, khi đèn điều khiển giao thông có tín hiệu vàng, người điều khiển phương tiện phải thực hiện như thế nào?","- đường giao nhau
- đèn giao thông
- tín hiệu vàng
- thực hiện"
114,"Hành vi điều khiển xe cơ giới chạy quá tốc độ quy định, giành đường, vượt ẩu bị xử lý như thế nào?","- quá tốc độ
- giành đường
- vượt ẩu
- xử lý"
115,Hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp người bị tai nạn giao thông bị xử lý như thế nào?,"- bỏ trốn
- gây tai nạn
- cứu giúp
- xử lý"
116,"Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy sử dụng xe để kéo, đẩy các xe khác, vật khác khi tham gia giao thông bị xử lý như thế nào?","- người điều khiển
- mô tô
- gắn máy
- kéo đẩy
- xe
- xử lý"
117,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông mang, vác vật cồng kềnh bị xử lý như thế nào?","- người điều khiển
- mô tô
- gắn máy
- cồng kềnh
- xử lý"
118,"Bảo đảm trật tự, an toàn giao thông đường bộ là trách nhiệm của ai?","- trật tự
- an toàn
- trách nhiệm"
119,"Biển báo hiệu đường bộ gồm những nhóm nào, ý nghĩa của từng nhóm?","- biển báo hiệu
- ý nghĩa"
120,"Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh bằng hai tay hoặc một tay giang ngang để báo hiệu thì người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông?","- đường giao nhau
- người điều khiển giao thông
- hiệu lệnh
- giang ngang
"
121,"Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh bằng tay phải giơ về phía trước để báo hiệu thì người tham gia giao thông phải đi như thế nào?","- đường giao nhau
- người điều khiển giao thông
- hiệu lệnh
- phía trước
"
122,"Tại nơi đường giao nhau, khi người điều khiển giao thông ra hiệu lệnh tay giơ thẳng đứng để báo hiệu thì người tham gia giao thông phải đi như thế nào?","- đường giao nhau
- người điều khiển giao thông
- hiệu lệnh
- thẳng đứng"
123,"Trên đường giao thông, khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào?","- đường giao nhau
- người điều khiển giao thông
- đèn
- biển báo hiệu
- hiệu lệnh"
124,Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu nào?,"- biển báo hiệu
- cố định
- tạm thời
- chấp hành"
125,"Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?","- nhiều làn đường
- xe
- cùng chiều
- phân biệt
- vạch kẻ
- xử lý"
126,"""Phương tiện giao thông đường bộ"" gồm 
 những loại nào?","- phương tiện
- đường bộ"
127,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào?,"- người điều khiển
- phương tiện
- hầm
- quy tắc
- quy định"
128,"Những trường hợp nào không được đi vào đường cao tốc trừ người, phương tiện, thiết bị phục vụ cho việc quản lý, bảo trì đường cao tốc?","- vào cao tốc
- người
- phương tiện
- thiết bị phục vụ"
129,"Trên đường bộ trong khu vực đông dân cư xe mô tô hai bánh, xe gắn máy tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?","- đường bộ
- khu vực
- đông dân cư
- mô tô
- gắn máy
- tốc độ
- tối đa"
130,"Trên đường bộ trong khu vực đông dân cư, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 40km/h?","- đường bộ
- khu vực
- đông dân cư
- tốc độ
- tối đa
- 40 km/h"
131,Khi có tín hiệu của xe ưu tiên người tham gia giao thông phải làm gì?,"- tín hiệu
- xe ưu tiên
- người tham gia giao thông"
132,"Người lái xe phải làm gì khi quay đầu xe trên cầu, gầm cầu vượt, đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt?","- người lái xe
- quay đầu
- cầu
- gầm cầu vượt
- đường ngầm
- đường bộ cùng mức đường sắt"
133,Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép đến mức không nguy hiểm?,"- người lái xe
- giảm tốc độ
- thấp hơn
- tốc độ tối đa"
134,"Trong trường hợp đặc biệt, xe quá tải trọng, quá khổ giới hạn của đường bộ, xe bánh xích có thể lưu hành trên đường nhưng phải xin phép cơ quan nào?","- trường hợp đặc biệt
- xe
- quá tải trọng
- quá khổ
- xe bánh xích
- lưu hành
- giấy phép"
135,Thời gian làm việc trong một ngày của người lái xe được quy định là bao nhiêu?,"- thời gian
- làm việc trong một ngày
- người lái xe"
136,"Khi sơ cứu ban đầu cho người bị tai nạn giao thông đường bộ không còn hô hấp, người lái xe và người có mặt tại hiện trường vụ tai nạn phải thực hiện các công việc gì?","- sơ cứu
- tai nạn
- không còn hô hấp
- hiện trường
- thực hiện
- công việc"
137,"Khi điều khiển ôtô qua đoạn đường ngập nước, người lái xe cần thực hiện các thao tác nào?","- ô tô
- ngập nước
- thao tác"
138,"Khi điều khiển ôtô tới gần xe chạy ngược chiều vào ban đêm, người lái xe cần thực hiện các thao tác nào?","- ô tô
- xe
- ngược chiều
- ban đêm
"
139,Khi điều khiển xe ôtô trên đường trơn cần chú ý những điểm gì?,"- ô tô
- đường trơn
- chú ý"
140,"Hành vi đưa xe cơ giới, xe máy chuyên 
 dụng không bảo đảm tiêu chuẩn an toàn 
 kỹ thuật và bảo vệ môi trường tham gia 
 giao thông đường bộ có bị nghiêm cấm 
 hay không?","- xe cơ giới
- xe máy
- tiêu chuẩn
- môi trường
- nghiêm cấm"
141,"Tại ngã ba hoặc ngã tư không có biển báo an toàn, người lái xe phải nhường đường như thế nào?","- ngã ba
- ngã tư
- biển báo
- người lái xe
- nhường đường"
142,"Khi xe ô tô đi ngược chiều đến rất gần, 
 xe ô tô phía sau cùng chiều cố tình vượt, 
 người lái xe xử lý như thế nào?","- xe ô tô
- ngược chiều
- xe ô tô
- phía sau
- vượt
- xử lý"
143,"Trên đường cao tốc, trừ khi nhập làn và tách làn, với điều kiện mặt đường khô ráo, xe cơ giới đang chạy với tốc độ trên 100 km/h đến 200 km/h, người lái xe phải duy trì khoảng cách an toàn với xe đang chạy phía trước tối thiểu bao nhiêu?","- cao tốc
- nhập làn
- tách làn
- đường
- khô ráo
- xe cơ giới
- tốc độ
- 100 km/h đến 200 km/h
- người lái xe
- duy trì
- khoảng cách
- tối thiểu"
144,"Hành khách có các nghĩa vụ gì khi đi trên 
 xe vận tải hành khách?","- hành khách
- nghĩa vụ
- xe vận tải hành khách"
145,"Người lái xe cố tình vi phạm Luật giao thông đường bộ, không phân biệt làn đường, vạch phân làn, phóng nhanh, vượt ẩu, vượt đèn đỏ, đi vào đường cấm, đường một chiều được coi là vi hành vi nào?","- người lái xe
- cố tình
- vi phạm
- phân biệt
- làn đường
- vạch phân làn
- phóng nhanh
- vượt ẩu
- vượt đèn đỏ
- đường cấm
- đường một chiều
- hành vi"
146,"Khi khởi hành ô tô trên đường bằng, người lái xe cần thực hiện các thao tác nào theo trình tự nào?","- khởi hành
- đường bằng
- người lái xe
- trình tự"
147,"Để đạt được hiệu quả phanh cao nhất, người lái xe mô tô phải sử dụng các kỹ năng như thế nào?","- hiệu quả
- phanh
- người lái xe
- mô tô"
148,Niên hạn sử dụng của ô tô tải (tính bắt đầu từ năm sản xuất) là bao nhiêu năm?,"- niên hạn
- ô tô tải
- năm sản xuất"
149,"Trong khu dân cư, nơi nào cho phép người lái xe, người điều khiển xe máy chuyên dụng được quay đầu xe?","- khu dân cư
- cho phép
- lái xe
- điều khiển
- xe chuyên dụng
- quay đầu"
150,"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3,5 tấn trở lên; xe hạng B2 kéo rơ mooc (FB2)?","- tuổi
- điều khiển
- ô tô tải
- máy kéo
- trọng tải
- 3,5 tấn
- B2
- kéo rơ mooc
- FB2"
151,Người kinh doanh vận tải hành khách có những quyền hạn nào theo quy định?,"- kinh doanh
- vận tải hành khách
- quyền hạn"
152,"Khi vào số để tiến hoặc lùi xe ô tô có số tự động, người lái xe phải thực hiện các thao tác nào để đảm bảo an toàn?","- vào số
- tiến
- lùi
- xe ô tô
- tự động
- thao tác
- an toàn"
153,Thế nào là động cơ 4 kỳ?,"- động cơ
- 4 kỳ"
154,Phần của đường bộ đươc sử dụng cho các phương tiện giao thông qua lại là gì?,"- phần đường bộ
- sử dụng
- phương tiện giao thông"
155,Người tham gia giao thông đường bộ gồm những đối tượng nào?,"- giao thông
- đường bộ
- đối tượng"
156,"Khi lái xe trên đường, người lái xe 
 cần quan sát và bảo đảm tốc độ 
 phương tiện như thé nào?","- lái xe
- người lái xe
- quan sát
- bảo đảm tốc độ"
157,Phương tiện giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,"- giao thông
- đường bộ
- phương tiện
- tốc độ
- thấp hơn"
158,"Khi lái xe trong khu đô thị và đông dân cư trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi như thế nào?","- lái xe
- đô thị
- đông dân cư
- khu vực
- biển cấm
- còi
- người lái xe sử dụng còi"
159,"Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật Giao thông đường bộ?","- sản xuất
- mua bán
- sử dụng
- biển số
- quy định"
160,Bạn đang lái xe phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?,"- lái xe
- xe cảnh sát
- tín hiệu ưu tiên
- được phép vượt"
161,Bạn đang lái xe phía trước có một xe cứu thương không phát tín hiệu ưu tiên có được phép vượt hay không?,"- lái xe
- phía trước
- xe cứu thương
- tín hiệu ưu tiên
- được phép vượt"
162,Bạn đang lái xe phía trước có một xe chữa cháy không phát tín hiệu ưu tiên có được phép vượt hay không?,"- lái xe
- phía trước
- xe chữa cháy
- tín hiệu ưu tiên
- được phép vượt"
163,Người lái xe không được lùi xe ở những khu vực nào?,"- người lái xe
- lùi xe
- khu vực"
164,"Khi xe đã kéo 1 xe hoặc xe đã kéo 1 rơ moóc, bạn có được phép kéo thêm xe (kể cả xe thô sơ) hoặc rơ moóc thứ hai hay không?","- xe
- đã kéo
- 1 xe
- 1 xe rơ moóc
- được phép kéo xe thứ hai"
165,"Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?","- người ngồi
- xe mô tô
- xe gắn máy
- mang vác cồng kềnh "
166,"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?","- người ngồi
- xe mô tô
- xe gắn máy
- sử dụng ô khi trời mưa"
167,"Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?","- hành vi
- xe mô tô
- được phép
- kéo, đẩy xe khác
- trạm xăng"
168,Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E) là bao nhiêu tuổi?,"- tuổi tối đa
- người lái xe
- ô tô
- trên 30 chỗ ngồi
- hạng E"
169,Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng B2
- điều khiển loại xe"
170,"Khi dạy thực hành lái xe, giáo viên phải mang theo các loại giấy tờ gì?","- thực hành lái xe
- giáo viên
- giấy tờ"
171,Khi điều khển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải làm gì?,"- điều khiển
- xe phía sau
- xin vượt
- đủ điều khiện"
172,"Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào để đảm bảo an toàn giao thông?","- chuyển hướng
- thực hiện"
173,"Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng quy tắc giao thông?","- tránh
- xe đi ngược chiều
- nhường đường
- quy định"
174,"Trên đường cao tốc, người lái xe phải dừng xe, đỗ xe như thế nào để đảm bảo an toàn giao thông?","- cao tốc
- dừng xe
- đỗ xe"
175,"Xe quá tải trọng, quá khổ giới hạn tham gia giao thông cần tuân thủ quy định nào?","- xe quá tải trọng, quá khổ
- quy định"
176,"Người lái xe phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy trong các trường hợp nào?","- lái xe
- giảm tốc độ
- đường xe chạy"
177,Tác dụng của mũ bảo hiểm đối với người ngồi trên xe mô tô hai bánh trong trường hợp xảy ra tai nạn giao thông là gì?,"- tác dụng
- mũ bảo hiểm
- xe mô tô
- tai nạn"
178,"Khi điều khiển xe trên đường vòng, khuất tầm nhìn người lái xe cần phải làm gì để đảm bảo an toàn?","- điều khiển xe
- đường vòng
- khuất tầm nhìn
- người lái xe"
179,"Trên đường bộ, người lái xe ô tô có được phép dừng xe, đỗ xe song song với một xe khác đang dừng, đỗ hay không?","- người lái xe
- dừng, đỗ
- song song xe khác đang dừng, đỗ"
180,"Khi điều khiển ô tô xuống dốc cao, người lái xe cần thực hiện các thao tác nào để đảm bảo an toàn?","- xuống
- dốc cao
- thao tác"
181,"Khi điều khiển xe ô tô rẽ trái ở chỗ đường giao nhau, người lái xe cần thực hiện các thao tác nào để đảm bảo an toàn?","- điều khiển xe
- đường giao nhau
- lái xe
- thao tác"
182,"Khi điều khiển xe qua đường sắt, người lái xe cần phải thực hiện các thao tác nào để đảm bảo an toàn?","- điều khiển xe
- qua đường sắt
- người lái xe
- thao tác"
183,"Khi động cơ ô tô đã khởi động, muốn điều chỉnh ghế của người lái, người lái xe phải điều chỉnh cần số ở vị trí nào?","- động cơ
- khởi động
- điều chỉnh
- ghế
- người lái
- điều chỉnh
- cần số"
184,"Khi điều khiển ô tô gặp mưa to hoặc sương mù, người lái xe phải làm gì để đảm bảo an toàn?","- điều khiển
- ô tô
- mưa to
- sương mù
- người lái xe"
185,Khi động cơ xe số tự động có trang bị chìa khóa thông minh có cần đạp hết hành trình bàn đạp của phanh?,"- động cơ
- số tự động
- chìa khoá thông minh
- đạp hết hành trình
- bàn đạp phanh"
186,"Khi đã đỗ xe ô tô sát lề đường bên phải, người lái xe phải thực hiện các thao tác nào khi mở cửa xuống xe để đảm bảo an toàn?","- đỗ xe
- sát lề đường
- bên phải
- người lái xe
- thao tác
- mở cửa
- xuống xe"
187,"Khi điều khiển xe giảm số, người lái xe cần chú ý những điểm gì để đảm bảo an toàn?","- điều khiển xe
- giảm số
- người lái xe
- chú ý"
188,"Khi điều khiển xe sử dụng hộp số cơ khí vượt qua rãnh lớn cắt ngang mặt đường, người lái xe cần thực hiện các thao tác nào để đảm bảo an toàn?","- điều khiển xe
- hộp số cơ khí
- vượt
- rãnh cắt ngang
- người lái xe
- thao tác"
189,Khi điều khiển xe trên đường vòng người lái xe cần phải làm gì để đảm bảo an toàn?,"- điều khiển xe
- đường vòng
- người lái xe
"
190,"Khi nhả hệ thống phanh dừng cơ khí điều khiển bằng tay (phanh tay), người lái xe cần phải thực hiện các thao tác nào?","- nhả hệ thống phanh
- cơ khí
- phanh tay
- người lái xe
- thao tác"
191,"Khi xảy ra tai nạn giao thông, có người bị thương nghiêm trọng, người lái xe và người có mặt tại hiện trường vụ tai nạn phải thực hiện các công việc gì?","- tai nạn
- bị thương
- nghiêm trọng
- người lái xe
- người có mặt
- hiện trường
- thực hiện
- công việc"
192,"Khi sơ cứu người tai nạn giao thông đường bộ, có vết thương chảy máu ngoài, màu đỏ tươi phun thành tia và phun mạnh khi mạch đập bạn phải làm gì?","- sơ cứu
- tai nạn
- vết thương
- chảy máu ngoài
- máu phun tia khi mạch đập"
193,"Khi dừng, đỗ xe trên đường phố hẹp, người lái xe ô tô phải dừng, đỗ xe ở vị trí cách xe ô tô đang đỗ bên kia đường khoảng cách tối thiểu là bao nhiêu mét trong các trường hợp nào để đảm bảo an toàn giao thông?","- dừng
- đỗ
- đường phố hẹp
- vị trí
- xe đỗ bên kia đường
- khoảng cách
- tối thiểu"
194,Khi điêu khiển xe chạy với tốc độ 60km/h người lái xe phải chủ động điều khiển xe như thế nào để đảo bảo an toàn giao thông?,"- điều khiển xe
- tốc độ
- 60km/h
- người lái xe
- chủ động
- điều khiển xe
- an toàn"
195,"Trên đường bộ ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa (trừ đường cao tốc), loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 70 km/h","- đường bộ
- ngoài
- khu vực đông dân dư
- đường đôi
- dải phân cách giữa
- loại xe
- tốc độ
- tối đa
- 70km/h"
196,"Tốc độ tối đa cho phép đối với xe máy chuyên dùng, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự trên đường bộ (trừ đường cao tốc) không được vượt quá bao nhiêu km/h?","- tốc độ
- tối đa
- xe chuyên dùng
- xe gắn máy
- đường bộ
- cao tốc
- vượt
- km/h"
197,"Khi lái xe trên đường vắng mà cảm thấy buồn ngủ, người lái xe nên chọn cách xử lý như thế nào cho phù hợp?","- lái xe
- đường vắng
- buồn ngủ
- người lái xe
- xử lý"
198,"Biển báo hiệu có dạng hình tròn, viền đỏ, nền trắng, trên nền có hình vẽ được chữ số, chữ viết màu đen là loại biển gì?","- biển báo
- hình tròn
- viền đỏ
- nền trắng
- chữ số
- chữ viết
- màu đen"
199,Người có giấy phép lái xe hạng B1 được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng B1
- điều khiển loại xe"
200,Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng B2
- điều khiển loại xe"
201,Người có giấy phép lái xe hạng C được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng C
- điều khiển loại xe"
202,Người có giấy phép lái xe hạng D được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng D
- điều khiển loại xe"
203,Người có giấy phép lái xe hạng E được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng E
- điều khiển loại xe"
204,Người có giấy phép lái xe hạng F được điều khiển loại xe nào?,"- giấy phép lái xe
- hạng F
- điều khiển loại xe"
